order_id,customer_id,product_id,product_name,product_category,price,quantity,order_date,delivery_date,status,payment_type,country
26,1097,P104,Headphones,Accessories,255,1,2023-11-20 21:33:35,2023-12-02 21:33:35,Cancelled,Credit Card,France
27,1022,P107,Mouse,Furniture,975,5,2023-10-25 14:52:24,2023-11-01 14:52:24,Cancelled,PayPal,Germany
28,1085,P109,Monitor,Accessories,1274,3,2023-07-08 12:02:30,2023-07-20 12:02:30,Pending,PayPal,Germany
29,1073,P108,Camera,Accessories,1864,1,2023-09-14 09:02:25,2023-09-20 09:02:25,Pending,Credit Card,UK
30,1072,P103,Tablet,Accessories,261,5,2023-07-02 17:06:28,2023-07-14 17:06:28,Shipped,Debit Card,Canada
31,1070,P103,Laptop,Electronics,891,3,2023-05-02 16:13:43,2023-05-12 16:13:43,Returned,Cash,UK
32,1025,P101,Laptop,Electronics,382,5,2023-11-10 14:22:53,2023-11-20 14:22:53,Returned,PayPal,Australia
33,1003,P101,Monitor,Accessories,763,1,2023-11-07 00:11:36,2023-11-10 00:11:36,Pending,Cash,USA
34,1017,P109,Laptop,Electronics,1765,5,2023-09-26 17:00:10,2023-10-10 17:00:10,Shipped,Cash,Australia
35,1066,P109,Phone,Furniture,1025,2,2023-03-09 03:35:15,2023-03-23 03:35:15,Cancelled,Debit Card,USA
36,1080,P103,Tablet,Furniture,1685,3,2023-03-24 10:51:34,2023-03-27 10:51:34,Returned,Credit Card,USA
37,1037,P108,Desk,Electronics,1058,5,2023-07-01 06:54:21,2023-07-09 06:54:21,Cancelled,Cash,Canada
38,1014,P110,Keyboard,Accessories,1337,3,2023-01-30 23:28:41,2023-02-14 23:28:41,Shipped,Cash,Canada
39,1089,P101,Tablet,Accessories,1644,1,2023-05-03 18:19:09,2023-05-07 18:19:09,Shipped,Credit Card,Germany
40,1027,P101,Phone,Electronics,705,2,2023-10-12 14:09:21,2023-10-17 14:09:21,Returned,Debit Card,UK
41,1014,P107,Desk,Accessories,112,2,2023-11-20 09:20:01,2023-11-28 09:20:01,Returned,PayPal,France
42,1056,P106,Laptop,Electronics,1835,5,2023-07-22 00:50:55,2023-07-30 00:50:55,Pending,PayPal,France
43,1061,P110,Keyboard,Furniture,1335,5,2023-03-25 19:19:37,2023-03-28 19:19:37,Cancelled,PayPal,France
44,1025,P104,Tablet,Electronics,302,3,2023-08-23 12:54:31,2023-09-05 12:54:31,Shipped,Cash,Germany
45,1086,P108,Camera,Furniture,1249,5,2023-09-07 13:09:00,2023-09-11 13:09:00,Returned,Debit Card,France
46,1073,P105,Phone,Accessories,1034,1,2023-08-24 13:10:17,2023-09-07 13:10:17,Shipped,Cash,USA
47,1018,P101,Monitor,Accessories,1208,4,2023-08-01 05:56:36,2023-08-15 05:56:36,Cancelled,PayPal,Canada
48,1042,P105,Phone,Furniture,1781,5,2023-08-28 23:38:27,2023-08-31 23:38:27,Returned,PayPal,USA
49,1095,P106,Mouse,Accessories,1181,3,2023-04-07 05:26:26,2023-04-19 05:26:26,Shipped,PayPal,Germany
50,1043,P108,Mouse,Furniture,772,4,2023-09-07 13:42:56,2023-09-12 13:42:56,Cancelled,Debit Card,UK
51,1092,P105,Monitor,Accessories,1265,3,2023-05-09 14:02:29,2023-05-15 14:02:29,Shipped,PayPal,France
52,1007,P109,Monitor,Furniture,206,2,2023-11-27 19:28:49,2023-12-06 19:28:49,Returned,Credit Card,Germany
53,1076,P102,Desk,Electronics,644,3,2023-03-23 08:27:11,2023-03-29 08:27:11,Cancelled,Debit Card,France
54,1066,P102,Camera,Electronics,1769,2,2023-11-01 22:29:03,2023-11-08 22:29:03,Shipped,Credit Card,USA
55,1043,P104,Camera,Furniture,986,3,2023-07-29 16:05:47,2023-08-07 16:05:47,Pending,Debit Card,Germany
56,1073,P105,Mouse,Furniture,958,2,2023-06-28 20:50:51,2023-07-08 20:50:51,Pending,Debit Card,UK
57,1028,P104,Monitor,Accessories,664,2,2023-01-16 19:54:26,2023-01-29 19:54:26,Cancelled,Cash,UK
58,1031,P110,Chair,Accessories,1217,4,2023-07-21 14:07:35,2023-07-23 14:07:35,Pending,Cash,Germany
59,1099,P106,Camera,Furniture,1803,4,2023-02-25 09:17:14,2023-03-01 09:17:14,Returned,Credit Card,France
60,1075,P110,Keyboard,Accessories,1160,1,2023-05-27 00:34:11,2023-05-30 00:34:11,Pending,Credit Card,France
61,1044,P108,Phone,Furniture,56,1,2023-06-02 06:30:52,2023-06-07 06:30:52,Pending,Debit Card,France
62,1016,P107,Mouse,Furniture,862,2,2023-06-24 03:32:51,2023-07-09 03:32:51,Pending,Debit Card,France
63,1062,P105,Chair,Furniture,603,2,2023-06-06 13:54:18,2023-06-13 13:54:18,Cancelled,Debit Card,Australia
64,1089,P109,Laptop,Furniture,860,3,2023-06-17 14:29:04,2023-06-27 14:29:04,Returned,Debit Card,Germany
65,1066,P104,Headphones,Accessories,1280,5,2023-03-25 02:42:00,2023-04-05 02:42:00,Cancelled,Credit Card,Germany
66,1096,P105,Laptop,Accessories,1546,1,2023-08-14 04:29:49,2023-08-22 04:29:49,Pending,Cash,USA
67,1098,P101,Mouse,Furniture,849,1,2023-09-29 07:40:56,2023-10-09 07:40:56,Shipped,Cash,USA
68,1030,P109,Monitor,Furniture,95,3,2023-06-07 22:54:56,2023-06-16 22:54:56,Pending,Credit Card,UK
69,1032,P110,Monitor,Accessories,430,5,2023-01-31 05:20:57,2023-02-10 05:20:57,Returned,PayPal,USA
70,1031,P104,Tablet,Electronics,433,5,2023-12-04 05:50:22,2023-12-16 05:50:22,Cancelled,PayPal,USA
71,1083,P104,Desk,Accessories,681,5,2023-03-02 07:22:49,2023-03-07 07:22:49,Pending,Debit Card,Canada
72,1067,P101,Headphones,Electronics,1663,1,2023-12-16 16:14:59,2023-12-20 16:14:59,Shipped,PayPal,France
73,1027,P102,Keyboard,Furniture,1648,3,2023-02-21 20:31:40,2023-03-04 20:31:40,Returned,PayPal,USA
74,1000,P108,Keyboard,Accessories,1047,1,2023-08-09 03:45:49,2023-08-23 03:45:49,Cancelled,Cash,Canada
75,1042,P105,Laptop,Furniture,922,5,2023-10-03 18:43:34,2023-10-09 18:43:34,Cancelled,PayPal,Germany
76,1021,P109,Headphones,Accessories,132,2,2023-07-02 20:51:38,2023-07-10 20:51:38,Returned,Debit Card,Australia
77,1062,P103,Phone,Accessories,1570,1,2023-08-26 09:14:02,2023-09-04 09:14:02,Shipped,Cash,USA
78,1017,P108,Tablet,Accessories,1781,2,2023-01-08 02:49:05,2023-01-11 02:49:05,Pending,Credit Card,Canada
79,1078,P104,Laptop,Accessories,128,2,2023-06-14 09:48:35,2023-06-27 09:48:35,Shipped,Cash,Germany
80,1035,P105,Monitor,Electronics,1615,1,2023-03-30 00:11:11,2023-04-09 00:11:11,Cancelled,Cash,Australia
81,1037,P103,Keyboard,Furniture,113,4,2023-10-04 05:55:45,2023-10-09 05:55:45,Pending,Cash,Canada
82,1081,P102,Chair,Accessories,1564,3,2023-08-17 14:18:56,2023-08-27 14:18:56,Returned,Credit Card,UK
83,1071,P104,Desk,Accessories,170,2,2023-05-24 00:24:51,2023-06-08 00:24:51,Shipped,Credit Card,Australia
84,1064,P101,Laptop,Electronics,794,3,2023-10-19 18:10:22,2023-10-23 18:10:22,Cancelled,PayPal,France
85,1063,P103,Tablet,Accessories,1641,4,2023-12-20 11:19:06,2024-01-04 11:19:06,Pending,Debit Card,Australia
86,1034,P102,Laptop,Furniture,1895,5,2023-11-14 07:43:36,2023-11-29 07:43:36,Returned,Credit Card,France
87,1002,P104,Laptop,Accessories,330,2,2023-05-23 13:24:13,2023-06-01 13:24:13,Returned,Cash,USA
88,1068,P103,Monitor,Electronics,466,3,2023-07-09 16:35:20,2023-07-11 16:35:20,Returned,Cash,Canada
89,1033,P106,Keyboard,Electronics,566,3,2023-12-02 06:46:07,2023-12-11 06:46:07,Returned,Cash,Australia
90,1086,P103,Camera,Furniture,629,4,2023-06-27 03:28:03,2023-07-09 03:28:03,Cancelled,Debit Card,Canada
91,1049,P106,Camera,Accessories,1976,2,2023-08-06 22:29:08,2023-08-12 22:29:08,Pending,Cash,Canada
92,1073,P110,Camera,Accessories,1122,2,2023-11-01 05:25:23,2023-11-06 05:25:23,Cancelled,Debit Card,Canada
93,1051,P110,Chair,Furniture,1068,2,2023-10-17 02:58:09,2023-10-25 02:58:09,Returned,PayPal,Australia
94,1007,P110,Camera,Furniture,1474,4,2023-01-21 20:32:27,2023-02-01 20:32:27,Pending,Cash,UK
95,1096,P109,Laptop,Furniture,988,2,2023-12-10 05:51:44,2023-12-18 05:51:44,Returned,PayPal,France
96,1059,P108,Camera,Furniture,215,5,2023-01-17 08:38:26,2023-01-21 08:38:26,Shipped,Credit Card,USA
97,1089,P104,Laptop,Furniture,1061,3,2023-05-13 09:54:35,2023-05-27 09:54:35,Cancelled,PayPal,France
98,1008,P101,Laptop,Furniture,1121,2,2023-05-07 14:51:59,2023-05-14 14:51:59,Pending,Cash,Canada
99,1081,P101,Camera,Accessories,1753,3,2023-07-16 05:14:29,2023-07-22 05:14:29,Pending,Debit Card,USA
100,1029,P108,Headphones,Furniture,1517,4,2023-10-19 07:25:01,2023-10-23 07:25:01,Returned,Cash,UK
101,1039,P103,Laptop,Furniture,1967,3,2023-02-08 00:38:47,2023-02-11 00:38:47,Cancelled,PayPal,Canada
102,1055,P104,Monitor,Furniture,1161,4,2023-06-20 20:49:56,2023-06-29 20:49:56,Returned,PayPal,Canada
103,1097,P102,Desk,Accessories,903,4,2023-02-23 00:45:57,2023-03-08 00:45:57,Cancelled,PayPal,UK
104,1050,P104,Phone,Furniture,778,5,2023-10-11 16:34:18,2023-10-25 16:34:18,Shipped,PayPal,Germany
105,1091,P101,Headphones,Accessories,597,4,2023-07-13 12:47:28,2023-07-26 12:47:28,Shipped,Credit Card,UK
106,1047,P103,Keyboard,Accessories,1386,5,2023-08-15 01:59:01,2023-08-17 01:59:01,Returned,Debit Card,Australia
107,1005,P103,Keyboard,Furniture,237,4,2023-08-01 01:13:06,2023-08-06 01:13:06,Cancelled,Debit Card,USA
108,1020,P102,Laptop,Electronics,792,5,2023-05-15 01:53:47,2023-05-30 01:53:47,Returned,Cash,USA
109,1008,P107,Desk,Accessories,1056,3,2023-05-19 11:14:30,2023-05-30 11:14:30,Returned,PayPal,France
110,1088,P101,Headphones,Furniture,793,1,2023-05-26 14:28:51,2023-06-01 14:28:51,Shipped,Debit Card,Germany
111,1079,P110,Keyboard,Electronics,1626,3,2023-08-22 02:18:59,2023-09-04 02:18:59,Returned,Cash,Germany
112,1014,P110,Headphones,Furniture,1385,4,2023-08-30 15:48:06,2023-09-08 15:48:06,Shipped,Debit Card,Germany
113,1042,P110,Keyboard,Furniture,857,3,2023-05-13 09:26:58,2023-05-25 09:26:58,Shipped,Credit Card,Germany
114,1015,P103,Tablet,Accessories,738,4,2023-05-16 01:23:00,2023-05-19 01:23:00,Cancelled,Debit Card,Canada
115,1001,P109,Desk,Electronics,1392,5,2023-08-19 13:16:35,2023-09-02 13:16:35,Pending,PayPal,Australia
116,1053,P102,Monitor,Furniture,490,2,2023-10-31 12:03:42,2023-11-14 12:03:42,Returned,PayPal,Germany
117,1009,P101,Laptop,Furniture,471,5,2023-03-14 03:41:55,2023-03-27 03:41:55,Shipped,Credit Card,Canada
118,1091,P108,Camera,Electronics,388,4,2023-07-31 21:43:47,2023-08-12 21:43:47,Shipped,PayPal,Germany
119,1058,P109,Laptop,Furniture,821,2,2023-06-12 14:07:38,2023-06-23 14:07:38,Pending,Cash,Australia
120,1085,P102,Headphones,Furniture,937,2,2023-11-24 17:34:44,2023-12-08 17:34:44,Returned,PayPal,UK
121,1084,P106,Monitor,Furniture,1722,3,2023-11-11 01:58:56,2023-11-20 01:58:56,Pending,Cash,France
122,1022,P105,Phone,Accessories,553,5,2023-03-06 02:01:40,2023-03-09 02:01:40,Pending,Cash,USA
123,1071,P109,Phone,Furniture,443,4,2023-08-06 18:45:24,2023-08-10 18:45:24,Pending,PayPal,Australia
124,1058,P105,Phone,Accessories,1274,1,2023-11-19 22:23:20,2023-11-22 22:23:20,Shipped,Credit Card,UK
125,1091,P103,Chair,Furniture,900,3,2023-08-18 10:45:30,2023-08-20 10:45:30,Returned,PayPal,UK
126,1043,P106,Tablet,Electronics,1852,5,2023-08-16 01:14:05,2023-08-25 01:14:05,Pending,Cash,UK
127,1085,P102,Camera,Furniture,837,4,2023-10-25 22:47:33,2023-11-04 22:47:33,Shipped,Cash,Germany
128,1040,P108,Desk,Electronics,446,5,2023-08-09 03:32:08,2023-08-12 03:32:08,Pending,Credit Card,USA
129,1033,P106,Chair,Accessories,1239,5,2023-09-02 12:22:12,2023-09-16 12:22:12,Shipped,PayPal,USA
130,1039,P107,Chair,Accessories,1197,3,2023-08-29 06:45:17,2023-09-12 06:45:17,Shipped,Credit Card,Germany
131,1059,P104,Camera,Electronics,1879,4,2023-07-11 11:52:16,2023-07-22 11:52:16,Returned,Cash,Canada
132,1073,P102,Mouse,Accessories,430,1,2023-10-11 15:34:39,2023-10-13 15:34:39,Pending,Debit Card,UK
133,1032,P106,Desk,Electronics,1749,3,2023-02-20 07:10:11,2023-02-25 07:10:11,Returned,PayPal,Australia
134,1056,P110,Mouse,Electronics,625,5,2023-03-17 20:16:54,2023-03-21 20:16:54,Cancelled,Debit Card,Germany
135,1079,P106,Desk,Furniture,968,4,2023-12-19 07:51:22,2023-12-27 07:51:22,Pending,PayPal,USA
136,1084,P102,Phone,Electronics,682,2,2023-01-13 06:56:27,2023-01-21 06:56:27,Pending,PayPal,France
137,1003,P110,Camera,Accessories,1538,4,2023-11-02 11:57:16,2023-11-12 11:57:16,Shipped,Credit Card,USA
138,1012,P110,Laptop,Accessories,1536,5,2023-03-09 13:40:08,2023-03-23 13:40:08,Returned,Credit Card,USA
139,1091,P109,Monitor,Accessories,85,4,2023-11-24 08:58:24,2023-12-01 08:58:24,Cancelled,Credit Card,Australia
140,1022,P104,Tablet,Furniture,1603,2,2023-07-19 22:18:24,2023-07-21 22:18:24,Shipped,Credit Card,France
141,1037,P110,Chair,Accessories,273,1,2023-10-03 19:30:08,2023-10-12 19:30:08,Shipped,Credit Card,USA
142,1089,P102,Monitor,Electronics,109,3,2023-06-14 11:23:40,2023-06-28 11:23:40,Shipped,Credit Card,UK
143,1067,P109,Laptop,Accessories,289,2,2023-10-04 14:38:13,2023-10-10 14:38:13,Shipped,Cash,UK
144,1064,P103,Desk,Accessories,324,2,2023-04-30 20:39:02,2023-05-09 20:39:02,Cancelled,Cash,Germany
145,1073,P101,Desk,Furniture,26,3,2023-06-15 22:35:12,2023-06-22 22:35:12,Pending,PayPal,France
146,1097,P103,Mouse,Electronics,1313,4,2023-11-29 23:39:30,2023-12-04 23:39:30,Shipped,Credit Card,USA
147,1099,P108,Camera,Accessories,1424,4,2023-01-14 13:50:32,2023-01-17 13:50:32,Pending,Cash,Canada
148,1078,P101,Laptop,Accessories,406,3,2023-02-02 17:15:04,2023-02-14 17:15:04,Shipped,PayPal,Germany
149,1028,P105,Headphones,Electronics,367,1,2023-09-21 23:47:00,2023-10-04 23:47:00,Pending,Cash,Australia
150,1061,P110,Desk,Furniture,932,4,2023-10-16 07:56:32,2023-10-18 07:56:32,Pending,PayPal,Australia
151,1092,P109,Phone,Accessories,47,5,2023-06-09 04:07:02,2023-06-13 04:07:02,Pending,Cash,USA
152,1091,P109,Monitor,Furniture,747,5,2023-06-10 01:46:24,2023-06-22 01:46:24,Cancelled,Cash,Canada
153,1018,P103,Phone,Accessories,1609,3,2023-07-18 15:37:49,2023-07-22 15:37:49,Cancelled,Cash,Canada
154,1077,P103,Mouse,Electronics,1479,4,2023-07-24 01:35:16,2023-07-30 01:35:16,Returned,Cash,UK
155,1055,P104,Tablet,Electronics,1317,2,2023-09-16 21:16:24,2023-09-24 21:16:24,Shipped,Credit Card,Germany
156,1020,P110,Chair,Electronics,1902,2,2023-07-24 23:58:34,2023-08-05 23:58:34,Shipped,PayPal,Canada
157,1041,P110,Headphones,Furniture,548,2,2023-11-25 12:48:51,2023-12-01 12:48:51,Shipped,Debit Card,France
158,1005,P104,Phone,Accessories,812,1,2023-01-31 22:27:48,2023-02-15 22:27:48,Shipped,PayPal,UK
159,1092,P106,Laptop,Furniture,998,1,2023-05-16 03:43:24,2023-05-18 03:43:24,Shipped,Cash,France
160,1085,P105,Keyboard,Electronics,281,4,2023-04-18 21:34:30,2023-04-23 21:34:30,Cancelled,Cash,Canada
161,1077,P101,Mouse,Accessories,1546,5,2023-06-18 08:51:37,2023-07-03 08:51:37,Pending,Credit Card,UK
162,1005,P107,Headphones,Electronics,1160,2,2023-06-19 15:40:50,2023-06-28 15:40:50,Shipped,PayPal,Australia
163,1002,P101,Laptop,Electronics,1380,4,2023-03-17 18:36:06,2023-03-28 18:36:06,Shipped,PayPal,UK
164,1061,P104,Chair,Furniture,897,3,2023-02-22 01:59:46,2023-02-24 01:59:46,Shipped,PayPal,Germany
165,1012,P101,Monitor,Electronics,1544,1,2023-02-20 06:40:56,2023-02-28 06:40:56,Returned,Credit Card,Canada
166,1034,P101,Chair,Electronics,1599,1,2023-09-08 17:31:09,2023-09-20 17:31:09,Cancelled,PayPal,Germany
167,1077,P101,Desk,Accessories,1370,5,2023-04-20 02:39:44,2023-04-28 02:39:44,Returned,PayPal,USA
168,1084,P107,Desk,Electronics,936,3,2023-12-29 11:19:08,2024-01-01 11:19:08,Returned,PayPal,Canada
169,1025,P107,Keyboard,Electronics,1201,3,2023-06-24 07:56:43,2023-07-03 07:56:43,Shipped,Cash,USA
170,1020,P107,Headphones,Accessories,1854,5,2023-07-23 05:46:36,2023-07-30 05:46:36,Returned,PayPal,USA
171,1094,P107,Desk,Accessories,944,3,2023-09-12 02:00:27,2023-09-18 02:00:27,Returned,Cash,Germany
172,1074,P103,Headphones,Electronics,257,5,2023-11-17 23:19:04,2023-11-21 23:19:04,Shipped,Cash,France
173,1085,P105,Mouse,Furniture,844,1,2023-10-17 17:44:03,2023-11-01 17:44:03,Returned,Cash,Germany
174,1090,P108,Chair,Electronics,1582,2,2023-04-27 19:02:15,2023-05-09 19:02:15,Returned,Credit Card,France
175,1024,P107,Tablet,Electronics,1049,2,2023-09-07 14:48:24,2023-09-13 14:48:24,Pending,PayPal,France
176,1054,P103,Phone,Electronics,538,4,2023-05-19 21:27:36,2023-06-03 21:27:36,Cancelled,Credit Card,Australia
177,1068,P110,Camera,Electronics,225,2,2023-11-23 07:49:53,2023-12-07 07:49:53,Cancelled,Debit Card,UK
178,1049,P105,Chair,Furniture,92,1,2023-07-09 17:45:33,2023-07-20 17:45:33,Pending,Credit Card,France
179,1044,P102,Mouse,Accessories,146,2,2023-06-14 17:52:43,2023-06-21 17:52:43,Pending,Credit Card,Germany
180,1058,P107,Desk,Accessories,1401,3,2023-08-16 07:25:29,2023-08-30 07:25:29,Returned,Cash,France
181,1040,P105,Phone,Accessories,1714,3,2023-03-26 17:07:24,2023-04-06 17:07:24,Shipped,Cash,UK
182,1029,P109,Laptop,Accessories,971,4,2023-07-22 21:08:35,2023-08-02 21:08:35,Returned,PayPal,USA
183,1022,P110,Tablet,Furniture,1124,4,2023-09-30 20:37:01,2023-10-12 20:37:01,Pending,PayPal,Canada
184,1056,P108,Keyboard,Electronics,69,1,2023-04-19 07:56:45,2023-05-02 07:56:45,Shipped,Credit Card,UK
185,1044,P108,Chair,Accessories,1300,1,2023-12-04 06:01:46,2023-12-13 06:01:46,Cancelled,PayPal,Australia
186,1075,P101,Tablet,Furniture,1133,1,2023-01-08 08:38:34,2023-01-17 08:38:34,Cancelled,Credit Card,UK
187,1099,P102,Mouse,Furniture,104,5,2023-10-12 15:25:54,2023-10-14 15:25:54,Pending,Cash,Canada
188,1074,P108,Phone,Accessories,108,2,2023-01-08 19:55:04,2023-01-14 19:55:04,Returned,Credit Card,Canada
189,1009,P107,Tablet,Accessories,1133,1,2023-09-23 23:36:25,2023-09-27 23:36:25,Returned,Credit Card,Germany
190,1021,P101,Phone,Electronics,349,5,2023-08-18 22:32:37,2023-08-26 22:32:37,Shipped,Cash,Canada
191,1028,P110,Keyboard,Accessories,292,4,2023-08-30 10:39:50,2023-09-06 10:39:50,Cancelled,Cash,France
192,1037,P109,Tablet,Furniture,1134,3,2023-03-15 21:20:15,2023-03-19 21:20:15,Shipped,Cash,Germany
193,1010,P104,Monitor,Accessories,1740,1,2023-04-19 23:32:33,2023-04-29 23:32:33,Pending,Credit Card,UK
194,1030,P109,Camera,Furniture,109,1,2023-03-10 01:52:43,2023-03-23 01:52:43,Pending,PayPal,Canada
195,1031,P106,Phone,Furniture,1702,3,2023-01-01 02:13:11,2023-01-05 02:13:11,Pending,PayPal,Australia
196,1093,P108,Monitor,Electronics,1980,4,2023-02-25 08:28:41,2023-03-03 08:28:41,Returned,Debit Card,France
197,1099,P108,Monitor,Furniture,1048,3,2023-03-07 14:27:59,2023-03-13 14:27:59,Cancelled,Cash,Australia
198,1005,P107,Headphones,Electronics,160,3,2023-04-24 19:30:29,2023-05-07 19:30:29,Cancelled,PayPal,UK
199,1071,P105,Tablet,Electronics,1142,5,2023-12-28 21:41:14,2024-01-07 21:41:14,Shipped,Cash,USA
200,1049,P102,Camera,Electronics,1782,2,2023-03-14 21:40:34,2023-03-19 21:40:34,Returned,Cash,France
201,1004,P109,Headphones,Accessories,727,3,2023-03-07 19:29:56,2023-03-21 19:29:56,Pending,Credit Card,USA
202,1085,P107,Camera,Furniture,1330,3,2023-10-29 22:05:34,2023-11-01 22:05:34,Cancelled,PayPal,USA
203,1017,P103,Laptop,Furniture,1111,3,2023-10-26 09:52:33,2023-10-29 09:52:33,Shipped,Cash,USA
204,1098,P101,Phone,Electronics,976,1,2023-10-12 13:01:49,2023-10-18 13:01:49,Pending,Debit Card,Canada
205,1037,P104,Headphones,Electronics,184,5,2023-12-04 01:55:22,2023-12-15 01:55:22,Pending,Credit Card,USA
206,1065,P102,Tablet,Furniture,378,2,2023-12-14 06:03:17,2023-12-25 06:03:17,Cancelled,Cash,USA
207,1043,P110,Desk,Accessories,1239,3,2023-06-30 11:34:03,2023-07-03 11:34:03,Pending,PayPal,Canada
208,1018,P106,Tablet,Electronics,846,3,2023-06-15 23:57:53,2023-06-29 23:57:53,Returned,PayPal,Canada
209,1076,P102,Tablet,Electronics,1997,3,2023-01-02 20:25:44,2023-01-05 20:25:44,Returned,Debit Card,USA
210,1013,P106,Camera,Electronics,1195,5,2023-09-05 06:28:03,2023-09-10 06:28:03,Cancelled,Debit Card,Germany
211,1094,P107,Mouse,Furniture,454,2,2023-09-02 00:22:50,2023-09-15 00:22:50,Pending,PayPal,Canada
212,1013,P104,Chair,Furniture,242,5,2023-02-09 21:26:30,2023-02-16 21:26:30,Pending,Debit Card,Australia
213,1019,P106,Laptop,Accessories,1401,5,2023-08-13 18:10:39,2023-08-16 18:10:39,Shipped,Credit Card,UK
214,1068,P107,Tablet,Electronics,1189,2,2023-11-19 23:07:28,2023-11-29 23:07:28,Cancelled,Credit Card,Germany
215,1045,P107,Desk,Electronics,131,2,2023-06-18 19:24:08,2023-06-29 19:24:08,Pending,Cash,Canada
216,1043,P109,Laptop,Accessories,823,5,2023-03-26 22:28:22,2023-03-31 22:28:22,Pending,Cash,Australia
217,1003,P105,Mouse,Furniture,1320,1,2023-05-14 13:57:15,2023-05-28 13:57:15,Returned,Cash,Germany
218,1007,P110,Monitor,Furniture,661,2,2023-06-18 10:58:39,2023-06-26 10:58:39,Pending,PayPal,Canada
219,1013,P102,Monitor,Furniture,1891,2,2023-11-04 06:48:28,2023-11-13 06:48:28,Shipped,Cash,Canada
220,1051,P109,Mouse,Accessories,1446,1,2023-07-26 06:32:59,2023-08-06 06:32:59,Returned,Debit Card,France
221,1030,P104,Mouse,Furniture,958,2,2023-05-22 22:24:56,2023-05-28 22:24:56,Returned,Debit Card,Canada
222,1024,P107,Keyboard,Accessories,782,3,2023-01-25 21:55:21,2023-02-09 21:55:21,Pending,Cash,France
223,1086,P106,Desk,Electronics,505,4,2023-02-22 02:57:58,2023-03-07 02:57:58,Pending,Debit Card,UK
224,1085,P109,Tablet,Electronics,1188,4,2023-02-01 05:56:59,2023-02-15 05:56:59,Returned,PayPal,USA
225,1064,P107,Desk,Electronics,1789,3,2023-06-13 13:51:08,2023-06-15 13:51:08,Returned,PayPal,UK
226,1071,P110,Monitor,Electronics,195,4,2023-02-28 21:49:01,2023-03-11 21:49:01,Cancelled,PayPal,Australia
